year,cement_t,local_t,exp_n_t,exp_s_t,coal_int_kgpt,elec_int_kwhpt,clinker_ratio,ncv,co2_ef_tco2_per_tj,oxid_frac,calc_ef,grid_ef_kg_per_kwh,cap_allowed_t,cap_over_t,ef_allowed_gpkm,ef_over_gpkm,dist_local_km,dist_exp_n_km,dist_exp_s_km,coal_t,energy_TJ,CO2_S1_fuel_t,clinker_t,CO2_S1_process_t,CO2_S1_total_t,elec_kwh,CO2_S2_elec_t,CO2_S3_local_t,CO2_S3_exp_n_t,CO2_S3_exp_s_t,CO2_S3_transport_t,CO2_total_t,CO2_intensity_t_per_tcement
1991,7290000.0,7290000.0,0.0,0.0,190,100,0.96,0.0258,94.6,1,0.523206355153751,0.7093108526359739,29.5,39.5,931.03,1421.05,500,1000,200,1385100.0,35735.58,3380585.868,6998400.0,3661607.355908011,7042193.223908011,729000000.0,517087.611571625,124694.37550311092,0.0,0.0,124694.37550311092,7683975.210982746,1.054043238817935
1992,7710000.0,7710000.0,0.0,0.0,187,105,0.96,0.0258,94.6,1,0.523206355153751,0.7045240371393992,29.5,39.5,931.03,1421.05,500,1000,200,1441770.0,37197.666,3518899.2035999997,7401600.0,3872564.1583060035,7391463.361906003,809550000.0,570347.4342662005,131878.41359794035,0.0,0.0,131878.41359794035,8093689.209770144,1.0497651374539745
1993,8320000.0,8320000.0,0.0,0.0,185,106,0.96,0.0258,94.6,1,0.523206355153751,0.7037260953448702,29.5,39.5,931.03,1421.05,500,1000,200,1539200.0,39711.36,3756694.656,7987200.0,4178953.7998840404,7935648.45588404,881920000.0,620630.1180065479,142312.37368804976,0.0,0.0,142312.37368804976,8698590.947578639,1.045503719660894
1994,8140000.000000001,8140000.000000001,0.0,0.0,180,108,0.96,0.0258,94.6,1,0.523206355153751,0.7013520653114551,29.5,39.5,931.03,1421.05,500,1000,200,1465200.0,37802.16,3576084.336,7814400.000000001,4088543.7417134726,7664628.077713473,879120000.0000001,616572.6276566066,139233.50021883717,0.0,0.0,139233.50021883717,8420434.205588916,1.0344513766079748
1995,8380000.000000001,8380000.000000001,0.0,0.0,175,110,0.96,0.0258,94.6,1,0.523206355153751,0.7092097331083316,29.5,39.5,931.03,1421.05,500,1000,200,1466500.0,37835.7,3579257.2199999997,8044800.000000001,4209090.485940897,7788347.705940897,921800000.0000001,653749.53197926,143338.66484445398,0.0,0.0,143338.66484445398,8585435.902764611,1.0245150241962542
1996,9430000.0,9430000.0,0.0,0.0,170,113,0.96,0.0258,94.6,1,0.523206355153751,0.7113650422526796,29.5,39.5,931.03,1421.05,500,1000,200,1603100.0,41359.98,3912654.108,9052800.0,4736482.491935877,8649136.599935878,1065590000.0,758023.4753740329,161298.76008152755,0.0,0.0,161298.76008152755,9568458.83539144,1.0146828033288908
1997,9650000.0,9650000.0,0.0,0.0,170,114,0.96,0.0258,94.6,1,0.523206355153751,0.7063540126838589,29.5,39.5,931.03,1421.05,500,1000,200,1640500.0000000002,42324.90000000001,4003935.5400000005,9264000.0,4846983.674144349,8850919.21414435,1100100000.0,777060.0493535132,165061.8276550096,0.0,0.0,165061.8276550096,9793041.091152873,1.0148229110002978
1998,9190000.0,9190000.0,0.0,0.0,168,115,0.95,0.0258,94.6,1,0.523206355153751,0.7384300486204393,29.5,39.5,931.03,1421.05,500,1000,200,1543920.0,39833.136,3768214.6655999995,8730500.0,4567853.083669824,8336067.749269823,1056850000.0,780409.7968845112,157193.59545591075,0.0,0.0,157193.59545591075,9273671.141610244,1.0091045855941507
1999,9620000.0,9620000.0,0.0,0.0,165,118,0.95,0.0258,94.6,1,0.523206355153751,0.7131222313386714,29.5,39.5,931.03,1421.05,500,1000,200,1587300.0,40952.34,3874091.3639999996,9139000.0,4781582.879750131,8655674.24375013,1135160000.0,809507.8321264061,164548.68207680757,0.0,0.0,164548.68207680757,9629730.757953346,1.0010115133007635
2000,9940000.0,9940000.0,0.0,0.0,160,120,0.95,0.0258,94.6,1,0.523206355153751,0.7269577635216043,29.5,39.5,931.03,1421.05,500,1000,200,1590400.0,41032.32,3881657.4719999996,9443000.0,4940637.611716871,8822295.083716871,1192800000.0,867115.2203285696,170022.23491096328,0.0,0.0,170022.23491096328,9859432.538956404,0.9918946216253928
2001,9930000.0,9930000.0,0.0,0.0,155,120,0.95,0.0258,94.6,1,0.523206355153751,0.7370798179398734,29.5,39.5,931.03,1421.05,500,1000,200,1539150.0,39710.07,3756572.622,9433500.0,4935667.151342911,8692239.773342911,1191600000.0,878304.3110571533,169851.18638489593,0.0,0.0,169851.18638489593,9740395.270784961,0.9809058681555852
2002,9940000.0,9833380.0,106060.0,560.0,155,120,0.95,0.0258,94.6,1,0.523206355153751,0.7271819305027268,29.5,39.5,931.03,1421.05,500,1000,200,1540700.0,39750.06,3760355.6759999995,9443000.0,4940637.611716871,8700993.287716871,1192800000.0,867382.6067036527,168198.51552603306,3628.281334941,3.8314869839090324,171830.628347958,9740206.52276848,0.9799000525924025
2003,11450000.0,11019678.0,428602.0,1720.0,152,120,0.95,0.0258,94.6,1,0.523206355153751,0.7175104163308351,29.5,39.5,931.03,1421.05,500,1000,200,1740400.0,44902.32,4247759.472,10877500.0,5691177.128184927,9938936.600184927,1374000000.0,985859.3120385674,188489.96796369966,14662.34807390517,11.768138593434884,203164.08417619826,11127959.996399691,0.9718742354934228
2004,13660000.0,12541707.0,1088218.0,30075.0,150,119,0.95,0.0258,94.6,1,0.523206355153751,0.693606950879893,29.5,39.5,931.03,1421.05,500,1000,200,2049000.0,52864.2,5000953.319999999,12977000.0,6789648.870830227,11790602.190830227,1625540000.0,1127485.842933301,214524.0496718785,37227.6169879957,205.77137685904313,251957.43803673325,13170045.47180026,0.9641321721669297
2005,16350000.000000002,14784830.000000002,1516370.0,48800.0,145,118,0.94,0.0258,94.6,1,0.523206355153751,0.6880374132515391,29.5,39.5,931.03,1421.05,500,1000,200,2370750.0,61165.35,5786242.109999999,15369000.0,8041158.4723579995,13827400.582357999,1929300000.0000002,1327430.5813861946,252892.3379656598,51874.570694554815,333.8867228835014,305100.7953830981,15459931.95912729,0.9455615877142073
2006,18550000.0,17044841.0,1409492.0,95667.0,140,117,0.94,0.0258,94.6,1,0.523206355153751,0.6770098380955804,29.5,39.5,931.03,1421.05,500,1000,200,2597000.0000000005,67002.6,6338445.96,17437000.0,9123149.214815957,15461595.174815957,2170350000.0,1469348.3021107428,291549.4930102634,48218.30582074919,654.5479737314739,340422.3468047441,17271365.823731445,0.9310709338938784
2007,24260000.0,21032079.0,1929938.0,1297983.0,140,116,0.94,0.0258,94.6,1,0.523206355153751,0.6913671110282502,29.5,39.5,931.03,1421.05,500,1000,200,3396400.0000000005,87627.12000000001,8289525.552,22804400.0,11931407.005468199,20220932.5574682,2814160000.0,1945617.6691712607,359750.61130824336,66022.61006028063,8880.723160419997,434653.94452894403,22601204.1711684,0.931624244483446
2008,30293433.0,22576813.0,5111607.0,2605013.0,140,115,0.93,0.0258,94.6,1,0.523206355153751,0.707658229260094,29.5,39.5,931.03,1421.05,500,1000,200,4241080.62,109419.879996,10351120.6476216,28172892.69,14740236.498472657,25091357.146094255,3483744795.0,2465300.672823769,386173.0586948582,174866.56863712764,17823.345361453252,578862.9726934391,28135520.791611463,0.9287663366384213
2009,31285810.0,20533323.0,6989136.0,3763351.0,140,115,0.93,0.0258,94.6,1,0.523206355153751,0.7267553846001993,29.5,39.5,931.03,1421.05,500,1000,200,4380013.4,113004.34572000001,10690211.105112001,29095803.3,15223109.194863481,25913320.299975485,3597868150.0,2614770.0510940575,351219.4634415176,239096.28225687533,25748.625664966145,616064.3713633592,29144154.722432904,0.9315454745276822
2010,34199896.0,23550741.0,6952774.0,3696381.0,138,115,0.93,0.0258,94.6,1,0.523206355153751,0.7171133920667145,29.5,39.5,931.03,1421.05,500,1000,200,4719585.648,121765.3097184,11518998.29936064,31805903.28,16641050.727501536,28160049.026862174,3932988040.0,2820398.3943222193,402831.95358443214,237852.34895590303,25290.42087333688,665974.723413672,31646422.144598067,0.9253367947258689
2011,31427584.0,21999645.0,6688655.0,2739284.0,135,113,0.93,0.0258,94.6,1,0.523206355153751,0.7110388621298173,29.5,39.5,931.03,1421.05,500,1000,200,4242723.84,109462.27507199999,10355131.221811198,29227653.12,15292093.858613359,25647225.080424555,3551316992.0,2525124.3930539656,376300.68512553314,228816.9158246256,18742.019627196907,623859.6205773557,28796209.094055872,0.9162718042231904
2012,32514987.0,23947161.0,6266322.0,2301503.0,135,112,0.92,0.0258,94.6,1,0.523206355153751,0.7011185631338805,29.5,39.5,931.03,1421.05,500,1000,200,4389523.245,113249.699721,10713421.593606599,29913788.040000003,15651084.009250272,26364505.60285687,3641678544.0,2553248.428164762,409612.65925479465,214369.0283927037,15746.74783558498,639728.4354830834,29557482.466504715,0.9090418048300224
2013,33432852.0,25061501.0,6105816.0,2268289.0,135,111,0.92,0.0258,94.6,1,0.523206355153751,0.7571852241136919,29.5,39.5,931.03,1421.05,500,1000,200,4513435.0200000005,116446.623516,11015850.5846136,30758223.84,16092898.18632961,27108748.77094321,3711046572.0,2809949.6303161685,428673.28070858575,208878.16544770994,15519.499605792918,653070.9457620886,30571769.347021468,0.9144230156320935
2014,34281883.0,26145355.0,5418214.0,2718314.0,135,110,0.92,0.0258,94.6,1,0.523206355153751,0.6966929829912709,29.5,39.5,931.03,1421.05,500,1000,200,4628054.205,119403.79848900001,11295599.337059401,31539332.360000003,16501579.128058353,27797178.465117753,3771007130.0,2627234.206281051,447212.44362580776,185355.50372351514,18598.544123531603,651166.4914728545,31075579.16287166,0.9064723534256173
2015,35400290.0,28206032.0,4466714.0,2727534.0,133,110,0.91,0.0258,94.6,1,0.523206355153751,0.7090792117205269,29.5,39.5,931.03,1421.05,500,1000,200,4708238.57,121472.55510600001,11491303.7130276,32214263.900000002,16854707.599080063,28346011.312107664,3894031900.0,2761177.0700665857,482460.0199809002,152804.96921289508,18661.626819945246,653926.6160137405,31761114.99818799,0.8971992884292188
2016,38872663.0,33000479.0,3851615.0,2020569.0,130,110,0.91,0.0258,94.6,1,0.523206355153751,0.7136424470655766,29.5,39.5,931.03,1421.05,500,1000,200,5053446.19,130378.91170200001,12333845.0470092,35374123.33,18507966.13424857,30841811.18125777,4275992930.0,3051530.0582003044,564468.3292467116,131762.61374579274,13824.613970696586,710055.5569632009,34603396.796421275,0.8901730451659892
2017,40315167.0,35651598.0,3149835.0,1513734.0,130,109,0.91,0.0258,94.6,1,0.523206355153751,0.7625573410352435,29.5,39.5,931.03,1421.05,500,1000,200,5240971.71,135217.070118,12791534.8331628,36686801.97,19194767.94097115,31986302.77413395,4394353203.0,3350946.2940493855,609815.3289846309,107754.92682108132,10356.87878232242,727927.1345880346,36065176.202771366,0.8945808460317519
2018,45893554.0,41146526.0,3081437.0,1665591.0,132,108,0.9,0.0258,94.6,1,0.523206355153751,0.7314943477010794,29.5,39.5,931.03,1421.05,500,1000,200,6057949.1280000005,156295.0875024,14785515.27772704,41304198.6,21610619.202052668,36396134.479779705,4956503832.0,3625654.5374667402,703805.2625092615,105415.05140389015,11395.87542324291,820616.1893363945,40842405.206582844,0.889937728653197
2019,46869237.0,40333097.0,2524193.0,4011947.0,135,107,0.9,0.0258,94.6,1,0.523206355153751,0.7429095639546676,29.5,39.5,931.03,1421.05,500,1000,200,6327346.995,163245.552471,15443029.2637566,42182313.300000004,22070054.393646598,37513083.6574032,5015008359.0,3725697.673213703,689891.6793582164,86351.89843191332,27449.50484041587,803693.0826305456,42042474.41324745,0.8970164036006699
2020,47812141.0,39965043.0,1970388.0,5876710.0,135,105,0.9,0.0258,94.6,1,0.523206355153751,0.7324951036284398,29.5,39.5,931.03,1421.05,500,1000,200,6454639.035,166529.687103,15753708.399943799,43030926.9,22514054.4222365,38267762.8221803,5020274805.0,3677326.7135317205,683596.1699368964,67406.39263616563,40208.103345014366,791210.6659180764,42736300.20163009,0.8938378267066119
2021,57404600.0,48098000.0,5826175.236031107,3480624.7639688943,135,105,0.89,0.0258,94.6,1,0.523206355153751,0.7397287099390033,29.5,39.5,931.03,1421.05,500,1000,200,7749621.000000001,199940.22180000003,18914344.98228,51090094.0,26730661.866202526,45645006.84848253,6027483000.0,4458702.223769274,822709.2006788242,199311.73734666358,23814.22942681833,1045835.1674523061,51149544.2397041,0.8910356354665672
2022,52887500.0,47627800.0,3277869.5080795367,1979030.4919204628,130,105,0.88,0.0258,94.6,1,0.523206355153751,0.7454466453446538,29.5,39.5,931.03,1421.05,500,1000,200,6875375.0,177384.675,16780590.255,46541000.0,24350546.975210726,41131137.23021072,5553187500.0,4139604.9928448643,814666.4989831366,112134.94959963435,13540.409947414895,940341.8585301859,46211084.08158577,0.8737619301647038
